edge_id,mean_speed,max_occupancy,mean_occupancy,waiting_time,sample_count,congested
306603956,2.729,0.080,0.082,0.0,23,1
-83715128#0,1.746,0.050,0.050,0.0,6,1
-502799827#3,1.929,0.636,0.489,0.0,87,1
106733613#2,3.980,0.064,0.072,1.0,45,1
107538676#1,2.645,0.064,0.085,0.0,15,1
-106931284#0,2.793,0.064,0.077,0.0,25,1
106934733,3.937,0.025,0.029,1.0,35,1
-316423887,3.102,0.037,0.035,2.0,85,1
42980561#9,2.033,0.066,0.072,0.0,91,1
-106923049#2,4.163,0.034,0.042,0.0,16,1
-107537245,1.788,0.081,0.116,0.0,14,1
198117868,4.010,0.024,0.026,1.0,37,1
1201189325#1,2.895,0.156,0.156,1.0,7,1
107537264,1.714,0.090,0.134,0.0,20,1
83737071#0,1.700,0.076,0.088,0.0,29,1
1160114827#0,3.021,0.051,0.051,7.0,66,1
-365435694#3,2.980,0.308,0.273,0.0,131,1
-711187486#4,3.253,0.413,0.195,0.0,4518,1
751775966,0.731,0.691,0.262,50609.0,4793,1
-106939534#1,3.386,0.434,0.088,273.0,4730,1
17735530#2,2.704,0.327,0.055,6.0,9036,1
-83737082#0,3.674,0.342,0.059,311.0,6449,1
393255036#8,3.231,0.137,0.017,10.0,14508,1
-83737071#1,2.726,0.267,0.065,0.0,7309,1
-83737071#3,2.751,0.281,0.061,0.0,7928,1
-306600357,4.193,0.202,0.052,0.0,6225,1
-361109138,3.853,0.180,0.030,269.0,11651,1
-361109139#1,2.740,0.259,0.043,0.0,11261,1
390332910,4.194,0.061,0.003,7.0,113127,1
-306611195#0,3.470,0.107,0.109,16.0,225,1
83718179#0,3.388,0.887,0.930,1.0,439,1
83718179#4,3.143,0.705,0.474,203.0,3540,1
-83715123,1.207,0.724,0.103,7956.0,31831,1
107553471#2,2.755,0.392,0.191,0.0,1200,1
-369010053#0,3.483,0.237,0.081,396.0,3460,1
-323470714#4,1.878,0.332,0.066,0.0,4859,1
-107537240#1,1.800,0.548,0.114,869.0,323,1
219965681,2.121,0.046,0.023,0.0,203,1
-83737071#2,2.740,0.254,0.063,0.0,7645,1
-106618518#2,3.440,0.104,0.105,244.0,3493,1
1205943241,3.263,0.589,0.329,0.0,1207,1
555847194#0,3.808,0.110,0.056,0.0,1101,1
751775962#0,3.247,0.794,0.344,118.0,1317,1
478878743#0,1.760,0.294,0.073,0.0,4766,1
83718179#2,1.893,1.928,2.095,62.0,453,1
